timestamp,question,answer_choice,primary_quote,reference,source,cross_references,search_method,keywords,rationale,correct_answer,is_correct
2025-11-05T13:57:56.846734,"Which one of the following statements pertains to a bankrupt's discharge applied for by the bankrupt prior to the automatic discharge date? A) A bankrupt may apply to court for a discharge prior to the automatic discharge date; if refused, there will be no automatic discharge B) The court must be satisfied that not receiving an early discharge will have an effect on the bankrupt's ability to earn a living C) The debtor must obtain permission from the trustee to apply to the court for an early discharge D) The trustee must be the one to apply to the court for an early discharge for the bankrupt in every circumstance",,"168.1 (1) Subject to subsections ( 2) and 157.1(3), the
following provisions apply in respect of an individual
bankrupt other than a bankrupt referred to in subsection
172.1(1):
(a) in the case of a bankrupt who has never before
been bankrupt under the laws of Canada or of any pre-
scribed jurisdiction, the bankrupt is automatically dis-
charged
(i) on the expiry of 9 months after the date of
bankruptcy unless, in that 9-month period, an op-
position to the discharge has been filed or the
bankru",168.1,statute,,Universal FTS5 search,section 172 bankrupt application discharge,Based on insolvency domain knowledge base,,
2025-11-05T14:14:42.439213,Which statement pertains to a bankrupt's discharge applied for by the bankrupt prior to the automatic discharge date?,,"168.1 (1) Subject to subsections ( 2) and 157.1(3), the
following provisions apply in respect of an individual
bankrupt other than a bankrupt referred to in subsection
172.1(1):
(a) in the case of a bankrupt who has never before
been bankrupt under the laws of Canada or of any pre-
scribed jurisdiction, the bankrupt is automatically dis-
charged
(i) on the expiry of 9 months after the date of
bankruptcy unless, in that 9-month period, an op-
position to the discharge has been filed or the
bankru",168.1,statute,,Universal FTS5 search,discharge before automatic discharge date,Based on insolvency domain knowledge base,,
2025-11-05T14:14:46.412851,Can a bankrupt apply to court for a discharge prior to the automatic discharge date? What are the conditions and requirements?,,NOT FOUND,N/A,statute,,Universal FTS5 search,bankrupt early discharge application court,Based on insolvency domain knowledge base,,
2025-11-05T14:14:50.114123,What happens if a bankrupt applies for discharge before the automatic discharge date and is refused? Will automatic discharge still occur?,,NOT FOUND,N/A,statute,,Universal FTS5 search,discharge refusal bankrupt application,Based on insolvency domain knowledge base,,
2025-11-05T14:17:10.098361,What happens when a bankrupt applies for discharge?,,"168.1 (1) Subject to subsections ( 2) and 157.1(3), the
following provisions apply in respect of an individual
bankrupt other than a bankrupt referred to in subsection
172.1(1):
(a) in the case of a bankrupt who has never before
been bankrupt under the laws of Canada or of any pre-
scribed jurisdiction, the bankrupt is automatically dis-
charged
(i) on the expiry of 9 months after the date of
bankruptcy unless, in that 9-month period, an op-
position to the discharge has been filed or the
bankru",168.1,statute,,Universal FTS5 search,bankrupt applies for discharge,Based on insolvency domain knowledge base,,
2025-11-05T14:21:08.159173,What happens when a bankrupt applies for discharge?,,NOT FOUND,N/A,statute,,Universal FTS5 search,bankrupt applies for discharge consequences,Based on insolvency domain knowledge base,,
2025-11-05T14:21:10.922988,"When a bankrupt applies to court for discharge, what effect does this have on automatic discharge provisions?",,"68 (1) The Superintendent shall, by directive, establish
in respect of the provinces or one or more bankruptcy
districts or parts of bankruptcy districts, the standards
for determining the surplus income of an individual
bankrupt and the amount that a bankrupt who has sur-
plus income is required to pay to the estate of the
bankrupt.
68 (1) Le surintendant fixe, par instruction, pour les
provinces ou pour un ou plusieurs districts ou parties de
(2) The following definitions apply in this section",68,statute,,Universal FTS5 search,automatic discharge ceases to apply,Based on insolvency domain knowledge base,,
2025-11-05T14:21:18.830939,What provisions apply when a bankrupt applies to court for discharge before automatic discharge date under section 168?,,NOT FOUND,N/A,statute,,Universal FTS5 search,discharge application court 169 170 171 172 173 174 175 176,Based on insolvency domain knowledge base,,
2025-11-05T14:21:22.613023,What is the discharge hearing and what provisions apply to it?,,"168.2 (1) The following provisions apply in respect of
oppositions to the automatic discharge of an individual
bankrupt:
(a) if the Superintendent opposes the discharge, the
Superintendent must give notice of the opposition, to-
gether with the grounds for it, to the trustee and to the
bankrupt before the automatic discharge would other-
wise take effect;
(b) if a creditor opposes the discharge, the creditor
must give notice of the opposition, together with the
grounds for it, to the Superintend",168.2,statute,,Universal FTS5 search,discharge hearing section 169,Based on insolvency domain knowledge base,,
2025-11-05T14:21:28.343406,What are the conditions and grounds for refusing a discharge under BIA section 173?,,NOT FOUND,N/A,statute,,Universal FTS5 search,section 173 grounds refuse discharge,Based on insolvency domain knowledge base,,
2025-11-05T14:21:31.027492,Court discharge grounds conditions absolute conditional suspended refused,,"168.2 (1) The following provisions apply in respect of
oppositions to the automatic discharge of an individual
bankrupt:
(a) if the Superintendent opposes the discharge, the
Superintendent must give notice of the opposition, to-
gether with the grounds for it, to the trustee and to the
bankrupt before the automatic discharge would other-
wise take effect;
(b) if a creditor opposes the discharge, the creditor
must give notice of the opposition, together with the
grounds for it, to the Superintend",168.2,statute,,Universal FTS5 search,discharge grounds,Based on insolvency domain knowledge base,,
